filename,label
0.jpg,5
1.jpg,1
10.jpg,2
100.jpg,1
101.jpg,6
102.jpg,2
103.jpg,0
104.jpg,0
105.jpg,2
106.jpg,0
107.jpg,3
108.jpg,6
109.jpg,3
11.jpg,6
110.jpg,2
111.jpg,2
112.jpg,1
113.jpg,0
114.jpg,7
115.jpg,2
116.jpg,1
117.jpg,3
118.jpg,0
119.jpg,3
12.jpg,3
120.jpg,1
121.jpg,1
122.jpg,6
123.jpg,1
124.jpg,3
125.jpg,0
126.jpg,1
127.jpg,0
128.jpg,0
129.jpg,5
13.jpg,1
130.jpg,1
131.jpg,3
132.jpg,1
133.jpg,1
134.jpg,1
135.jpg,2
136.jpg,6
137.jpg,0
138.jpg,2
139.jpg,3
14.jpg,3
140.jpg,2
141.jpg,0
142.jpg,5
143.jpg,1
144.jpg,0
145.jpg,6
146.jpg,6
147.jpg,4
148.jpg,6
149.jpg,1
15.jpg,1
150.jpg,3
151.jpg,4
152.jpg,1
153.jpg,0
154.jpg,4
155.jpg,0
156.jpg,0
157.jpg,1
158.jpg,2
159.jpg,3
16.jpg,1
160.jpg,4
161.jpg,0
162.jpg,2
163.jpg,5
164.jpg,2
165.jpg,4
166.jpg,0
167.jpg,0
168.jpg,3
169.jpg,3
17.jpg,1
170.jpg,1
171.jpg,0
172.jpg,0
173.jpg,0
174.jpg,0
175.jpg,5
176.jpg,3
177.jpg,0
178.jpg,0
179.jpg,0
18.jpg,2
180.jpg,1
181.jpg,1
182.jpg,5
183.jpg,0
184.jpg,2
185.jpg,1
186.jpg,1
187.jpg,2
188.jpg,1
189.jpg,5
19.jpg,1
190.jpg,3
191.jpg,0
192.jpg,2
193.jpg,2
194.jpg,1
195.jpg,4
196.jpg,3
197.jpg,2
198.jpg,6
199.jpg,3
2.jpg,3
20.jpg,0
200.jpg,2
201.jpg,2
202.jpg,5
203.jpg,3
204.jpg,6
205.jpg,2
206.jpg,1
207.jpg,5
208.jpg,3
209.jpg,5
21.jpg,4
210.jpg,1
211.jpg,3
212.jpg,3
213.jpg,5
214.jpg,4
215.jpg,1
216.jpg,2
217.jpg,4
218.jpg,1
219.jpg,0
22.jpg,1
220.jpg,2
221.jpg,1
222.jpg,5
223.jpg,4
224.jpg,3
225.jpg,2
226.jpg,4
227.jpg,2
228.jpg,6
229.jpg,0
23.jpg,0
24.jpg,1
25.jpg,2
26.jpg,3
27.jpg,2
28.jpg,4
29.jpg,3
3.jpg,4
30.jpg,0
31.jpg,5
32.jpg,1
33.jpg,0
34.jpg,1
35.jpg,4
36.jpg,2
37.jpg,5
38.jpg,2
39.jpg,0
4.jpg,0
40.jpg,0
41.jpg,5
42.jpg,0
43.jpg,1
44.jpg,6
45.jpg,0
46.jpg,2
47.jpg,1
48.jpg,2
49.jpg,3
5.jpg,4
50.jpg,1
51.jpg,0
52.jpg,0
53.jpg,2
54.jpg,0
55.jpg,4
56.jpg,0
57.jpg,6
58.jpg,1
59.jpg,0
6.jpg,2
60.jpg,1
61.jpg,0
62.jpg,4
63.jpg,2
64.jpg,1
65.jpg,1
66.jpg,1
67.jpg,2
68.jpg,1
69.jpg,4
7.jpg,4
70.jpg,1
71.jpg,3
72.jpg,5
73.jpg,1
74.jpg,2
75.jpg,3
76.jpg,6
77.jpg,1
78.jpg,2
79.jpg,6
8.jpg,2
80.jpg,0
81.jpg,2
82.jpg,2
83.jpg,1
84.jpg,4
85.jpg,2
86.jpg,4
87.jpg,6
88.jpg,0
89.jpg,3
9.jpg,1
90.jpg,5
91.jpg,3
92.jpg,3
93.jpg,0
94.jpg,1
95.jpg,3
96.jpg,1
97.jpg,0
98.jpg,0
99.jpg,6
